Geography Type,Geography,Group Name,Group Category,Indicator Name,Indicator Category,Time Period,Time Type,Estimate (%),95% CI (%),Sample Size,Suppression Flag
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,23.6,9.7-46.9,30,0
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,8.4,2.1-28.2,30,0
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,89.2,69.0-96.8,30,0
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,12.8,4.9-29.6,49,0
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,13.6,5.0-31.8,45,0
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,28.8,15.3-47.5,46,0
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,25.6,13.6-42.9,49,0
Jurisdictional Estimates,Colorado,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,96,76.6-99.4,49,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,32.9,29.3-36.8,1018,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,81.7,78.3-84.7,978,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,88.7,85.8-91.0,1014,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,43.9,39.9-47.9,1009,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,81.3,77.9-84.2,1019,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,28.2,20.8-37.1,162,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,16.1,9.7-25.5,125,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,41.3,32.6-50.7,158,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,31.4,23.7-40.2,163,0
Jurisdictional Estimates,Connecticut,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,91.5,84.8-95.5,159,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,36.5,23.1-52.3,54,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,19,8.4-37.3,43,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,33.7,20.7-49.6,52,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,39.7,26.0-55.3,55,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,88.2,73.5-95.2,54,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,19.3,10.9-31.8,82,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,0.8,0.1-5.8,60,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,35.7,24.0-49.5,80,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,23.1,14.1-35.6,81,0
Jurisdictional Estimates,Connecticut,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,96.5,85.0-99.2,78,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,36,33.0-39.1,1471,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,85.4,83.0-87.6,1431,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,87.8,85.4-89.8,1459,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,43.6,40.4-46.7,1461,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,76.9,74.2-79.5,1478,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,36.3,29.2-44.0,189,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,17.9,12.2-25.5,146,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,36.1,28.9-44.1,177,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,32.8,26.0-40.3,191,0
Jurisdictional Estimates,District of Columbia,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,85,78.5-89.8,186,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,57.3,39.0-73.9,35,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,60,40.6-76.7,33,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,34.2,20.1-51.9,35,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,90.9,78.2-96.5,34,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,34.6,24.5-46.3,82,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,11.3,5.5-22.0,60,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,39.6,28.7-51.7,77,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,34,24.1-45.7,83,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,82.2,71.1-89.7,79,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,27.5,17.6-40.4,72,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,7.9,2.7-21.2,55,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,19.9,11.5-32.1,65,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,29.9,19.6-42.7,72,0
Jurisdictional Estimates,District of Columbia,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,85.6,74.3-92.5,72,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,39.3,34.2-44.7,466,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,80.9,76.0-85.0,450,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,80.6,75.9-84.6,465,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,44.8,39.5-50.2,464,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,80.8,76.3-84.6,469,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,28.7,20.1-39.1,119,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,13,7.1-22.8,97,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,38.8,28.9-49.6,117,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,23.3,16.1-32.5,119,0
Jurisdictional Estimates,Delaware,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,86.9,77.6-92.6,119,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,,,,1
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,26.4,14.0-44.1,43,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,9.8,2.5-31.8,30,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,20,9.8-36.5,41,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,22.9,12.4-38.5,44,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,91.3,71.7-97.7,44,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,21.8,12.0-36.2,60,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,2.7,0.6-11.5,54,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,42.2,28.6-57.1,60,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,15.5,8.5-26.7,60,0
Jurisdictional Estimates,Delaware,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,87.4,74.5-94.3,59,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,36.6,32.3-41.2,1107,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,79.6,75.5-83.1,1067,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,83.5,79.8-86.7,1100,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,40.3,35.8-44.9,1101,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,81.1,77.2-84.4,1108,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,25.6,19.4-33.0,277,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,19.7,13.6-27.7,226,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,31.8,25.0-39.4,272,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,20,14.5-27.0,279,0
Jurisdictional Estimates,Florida,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,83.6,76.8-88.7,275,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,55.1,34.0-74.5,32,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,45.5,25.7-66.8,31,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,53.3,32.5-73.0,32,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,32,15.4-55.0,32,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,85.8,63.2-95.5,32,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,32.2,22.1-44.2,114,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,25.1,14.8-39.2,81,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,41.1,30.0-53.1,108,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,20.5,12.7-31.4,115,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably Will Get Vaccinated or Are Unsure,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,78.9,67.6-87.0,115,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,9,4.8-16.0,134,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,4.9,1.7-13.8,115,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,15,8.7-24.7,133,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,15.6,9.0-25.7,135,0
Jurisdictional Estimates,Florida,Vaccination Intention Among Unvaccinated,Probably or Definitely Will Not Get Vaccinated,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,88,77.6-94.0,131,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Vaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,37.3,31.8-43.2,556,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Vaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,79.1,73.9-83.5,527,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Vaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,78.7,73.6-83.0,557,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Vaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,39.6,34.0-45.4,551,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Vaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,80.5,75.2-84.9,560,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Unvaccinated People,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,22.1,15.9-29.8,193,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Unvaccinated People,Confidence In COVID-19 Vaccine Safety,Very or Completely Confident in COVID-19 Vaccine Safety,May 30 – June 26,Monthly,12.8,7.4-21.1,148,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Unvaccinated People,COVID-19 Vaccination of Friends and Family,Many or Almost All Friends and Family Vaccinated,May 30 – June 26,Monthly,22.4,16.1-30.2,191,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Unvaccinated People,Provider Recommendation,Provider Recommended,May 30 – June 26,Monthly,20.5,14.6-27.9,194,0
Jurisdictional Estimates,Georgia,Vaccination Status,Total Unvaccinated People,Difficulty Receiving COVID-19 Vaccine,Not At All or A Little Difficult to Get Vaccinated,May 30 – June 26,Monthly,89,82.0-93.4,191,0
Jurisdictional Estimates,Georgia,Vaccination Intention Among Unvaccinated,Definitely Plan to Get Vaccinated,Concern About COVID-19 Disease,Moderately or Very Concerned About COVID-19,May 30 – June 26,Monthly,,,,1
